accuracy,precision,recall,f1,roc_auc,model_name,target_type,fit_time,class_specific
0.9978567176026989,0.9974428912376406,0.9979532662459492,0.9976980134708842,0.9987627953625753,decision_tree,binary,0.38507962226867676,
0.9875372097638421,0.9856170212765958,0.9876343169026096,0.9866246379280967,0.9980538471757693,knn,binary,0.026498794555664062,
0.9180392935106172,0.8718343468555153,0.9658877707658196,0.9164542622486548,0.9567399081309977,naive_bayes,binary,0.11424708366394043,
0.972454852153205,0.9772451981311646,0.9632440730001706,0.9701941247208383,0.9959751165863123,logistic_regression,binary,14.333755016326904,
0.8650922802143283,0.5720655700946639,0.9127619189563323,0.5961085407602824,0.9793939039676358,naive_bayes,multiclass,0.08319735527038574,"{'class_0_recall': 0.7858044398247829, 'class_0_f1': 0.8727632555454771, 'class_1_recall': 0.9539813289401428, 'class_1_f1': 0.9352858834930549, 'class_2_recall': 0.9744663038928422, 'class_2_f1': 0.8644634236910509, 'class_3_recall': 0.8495575221238938, 'class_3_f1': 0.2942528735632184, 'class_4_recall': 1.0, 'class_4_f1': 0.013777267508610792}"
0.9968247668188133,0.9124590610579444,0.8952659262630902,0.9013189570324723,0.9440151327317811,decision_tree,multiclass,0.5209345817565918,"{'class_0_recall': 0.9991833098225555, 'class_0_f1': 0.9974060624027273, 'class_1_recall': 0.9990115321252059, 'class_1_f1': 0.9990115321252059, 'class_2_recall': 0.9928840519045625, 'class_2_f1': 0.9945492662473795, 'class_3_recall': 0.8185840707964602, 'class_3_f1': 0.9002433090024331, 'class_4_recall': 0.6666666666666666, 'class_4_f1': 0.6153846153846154}"
0.882635443540385,0.8610722226797332,0.8916936721814771,0.8761154635719971,0.9578057665015249,svm,binary,10.03335976600647,
0.9847588807303036,0.851955419830747,0.7870753150073873,0.802844857441414,0.9948703752246587,knn,multiclass,0.03470158576965332,"{'class_0_recall': 0.9885663375157769, 'class_0_f1': 0.9882728419802568, 'class_1_recall': 0.9891268533772652, 'class_1_f1': 0.9903777423434321, 'class_2_recall': 0.9635830891586438, 'class_2_f1': 0.9599666388657214, 'class_3_recall': 0.827433628318584, 'class_3_f1': 0.82560706401766, 'class_4_recall': 0.16666666666666666, 'class_4_f1': 0.25}"
0.9819805516967652,0.7061045026433973,0.7097651018035924,0.7079126960195624,0.9907466543386848,logistic_regression,multiclass,25.844454765319824,"{'class_0_recall': 0.9839631746974534, 'class_0_f1': 0.9855729902580501, 'class_1_recall': 0.9934102141680395, 'class_1_f1': 0.9912871938188393, 'class_2_recall': 0.965257429886982, 'class_2_f1': 0.9644500209117524, 'class_3_recall': 0.6061946902654868, 'class_3_f1': 0.5982532751091703, 'class_4_recall': 0.0, 'class_4_f1': 0.0}"
0.8314744989085135,0.5038849623879404,0.39746876209954696,0.4029906588282287,0.9495354676347862,svm,multiclass,10.56321406364441,"{'class_0_recall': 0.9194446506793378, 'class_0_f1': 0.8917371737173717, 'class_1_recall': 0.8954420647995607, 'class_1_f1': 0.8353055683622765, 'class_2_recall': 0.17245709501883633, 'class_2_f1': 0.28791055206149546, 'class_3_recall': 0.0, 'class_3_f1': 0.0, 'class_4_recall': 0.0, 'class_4_f1': 0.0}"
